Blog	available	here	want	how	series	re	than	best	much	life	things	had	has	right	old	people	for	time	love	so	years	one	open	say	take	going	where	many	s	being	around	world	her	with	am	an	as	at	small	past	full	social	more	company	its	always	really	number	also	play	see	last	d	be	by	into	up	us	video	great	makes	next	this	high	could	system	should	email	ve	off	web	does	software	work	after	then	them	they	another	what	do	we	air	post	months	way	was	live	can	still	not	now	year	support	that	online	only	between	these	read	t	your	start	you	very	site	help	soon	since	pretty	during	x	both	look	while	some	doesn	go	facebook	announced	him	keep	need	i	well	home	he	using	even	new	ever	before	better	isn	don	m	said	three	website	is	it	in	if	make	just	down	finally	did	may	nbsp	thing	think	first	little	were	get	enough	those	same	money	users	two	through	part	most	find	point	big	google	back	few	looking	ll	day	have	latest	like	about	but	minutes	every	would	me	my	times	end	over	each	got	free	days	already	too	news	been	no	when	everything	says	today	name	she	any	good	check	week	blog	or	there	all	design	will	might	feel	story	his	are	long	twitter	called	app	use	from	something	our	out	their	which	who	why	book	know	because	getting	own	made	otherSchneier on Security	1	0	0	5	0	5	4	0	5	0	2	0	10	2	0	8	32	4	0	6	2	4	3	2	0	0	2	1	20	3	0	3	0	16	3	11	19	5	0	2	0	1	17	2	3	4	1	7	1	2	0	1	3	19	8	2	1	5	1	0	1	0	22	1	11	11	10	1	0	0	0	3	8	4	1	2	3	11	0	5	8	30	0	1	0	1	12	0	11	1	6	5	0	0	31	1	5	1	6	2	17	2	1	5	4	0	1	0	1	2	1	0	3	2	3	2	0	3	2	1	0	0	6	12	0	0	0	1	6	1	3	0	4	3	7	2	1	2	0	40	35	35	8	5	9	0	0	0	3	0	0	3	1	1	3	5	1	3	2	0	3	0	8	3	2	2	0	3	2	1	2	2	0	1	9	0	7	8	16	0	1	1	1	0	2	0	4	0	0	0	0	1	3	0	4	2	3	4	0	3	2	0	4	6	0	0	0	13	8	10	2	2	2	0	0	0	13	2	0	1	0	3	8	2	5	6	10	1	3	5	0	9	5	0	1	3	4
Search Engine Roundtable	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0	0	1	1	1	0	0	0	0	0	0	6	0	0	0	0	4	2	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	1	3	0	1	0	0	0	0	1	0	6	0	3	0	0	0	0	0	0	1	0	0	1	1	1	0	0	6	0	0	0	1	0	0	0	0	5	2	3	2	0	0	0	0	0	0	0	1	2	0	0	0	2	0	0	0	4	1	1	1	0	0	2	0	1	0	0	0	0	0	0	0	9	1	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	31	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	5	2	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	9	0	1	0	2	1	3	1	0	1	4	0	1	0	0	1	0	0	0	0	1
Copyblogger	0	1	0	0	0	5	2	1	0	0	0	0	1	1	1	0	8	1	0	1	0	3	0	0	3	2	1	2	17	0	0	2	0	2	0	5	4	4	0	0	0	1	10	0	2	1	0	0	0	0	0	0	0	3	1	6	1	0	0	0	1	0	3	0	1	1	1	0	1	0	0	1	0	1	0	1	0	0	0	3	1	5	1	2	0	1	4	0	6	0	8	0	0	2	9	0	1	0	3	0	8	14	0	24	0	0	0	0	0	1	0	0	0	3	0	1	1	0	0	1	2	1	4	4	0	0	3	1	1	9	0	1	1	0	4	3	0	0	3	23	5	9	3	1	1	0	0	0	1	0	3	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	10	0	0	0	1	2	1	2	1	1	4	0	1	1	1	0	0	0	4	0	0	0	1	1	0	4	1	2	1	0	0	1	0	0	0	5	0	0	0	5	3	1	0	2	1	1	0	0	3	0	0	1	0	0	1	0	1	4	0	0	0	4	1	1	0	0	1	0	0
John Battelle's Search Blog	0	4	3	6	0	3	1	2	0	1	1	1	2	0	0	4	8	0	0	1	0	3	0	1	0	1	0	1	34	0	1	4	0	11	0	5	10	2	0	0	0	0	2	1	4	3	0	0	1	0	4	0	0	0	4	5	11	1	0	2	0	2	10	0	0	0	0	2	1	0	2	0	0	1	1	1	3	0	0	3	6	10	0	20	0	2	4	3	1	0	0	4	3	0	5	0	1	2	0	1	4	3	2	6	3	0	0	0	0	0	1	1	0	0	1	1	0	0	4	0	0	3	0	10	0	2	0	0	3	3	0	1	0	0	3	2	0	1	0	11	4	5	4	0	2	1	0	0	0	0	0	0	21	0	0	4	0	3	0	0	0	0	2	0	1	0	0	1	15	0	1	1	0	0	1	0	0	8	3	0	0	0	2	2	0	0	3	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	3	0	7	20	3	2	0	0	0	0	3	1	3	10	3	7	0	0	0	5	1	5	5	2	1	4	0	3	0	0	0	1	0	3
Engadget RSS Feed	2	1	1	0	1	2	3	0	0	0	1	0	16	0	0	0	21	1	0	1	1	4	2	0	2	1	1	2	42	0	0	0	0	9	0	5	14	7	0	0	6	0	9	6	15	0	1	0	4	2	2	3	0	10	9	2	7	4	5	0	2	1	5	0	3	1	1	0	3	1	1	0	1	0	4	1	1	1	0	3	1	8	6	1	1	3	2	7	2	3	4	9	3	2	21	0	2	1	0	3	13	3	0	18	0	1	1	3	2	0	1	3	4	1	5	4	0	1	0	1	1	1	1	0	4	1	5	0	1	11	0	0	1	0	2	0	0	0	0	16	15	25	6	0	4	1	4	0	3	0	2	0	5	1	2	6	0	4	3	1	2	1	2	3	0	2	0	1	2	1	1	2	7	4	5	0	1	0	7	0	0	2	0	0	1	2	2	1	3	2	1	1	0	6	5	1	1	0	5	9	0	0	1	3	0	2	0	2	2	4	2	12	1	0	3	2	4	1	1	1	10	0	5	1	7	9	3	3	1	0	0	2	0	0	1	1	0
SimpleBits	2	0	0	1	0	1	1	2	1	0	1	3	2	1	0	0	14	1	0	3	4	2	1	1	0	0	1	1	6	0	1	0	0	3	0	5	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	1	0	0	1	0	0	1	6	0	0	0	0	0	6	0	7	0	0	1	0	1	0	0	1	0	1	1	0	0	0	2	1	0	1	0	6	1	0	0	6	0	0	0	2	1	4	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	1	0	0	1	18	1	0	1	0	0	8	1	0	0	0	0	3	0	0	1	10	18	4	0	1	1	1	2	1	0	0	1	2	2	1	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	1	3	0	0	1	3	4	3	2	4	0	2	2	0	5	0	0	4	0	0	0	0	0	0	0	3	1	0	0	0	2	0	0	0	0	1	0	0	1	1	2	7	0	1	0	0	1	1	1	0	0	1	1	1	3	0	4	0	0	0	0	5	0	2	0	2	2	0
mezzoblue	0	1	0	2	0	1	0	0	1	0	0	0	1	1	1	0	2	0	0	1	2	2	0	0	1	1	1	0	7	0	0	0	0	4	0	2	3	0	0	3	0	0	0	0	1	0	0	2	1	0	0	1	1	1	0	1	0	0	1	0	0	0	3	0	0	0	2	0	5	1	3	1	0	1	0	0	2	0	0	1	0	0	0	0	1	3	2	0	1	1	2	1	0	3	8	0	0	0	1	0	4	0	0	6	0	2	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	13	1	0	0	0	0	3	1	0	0	0	0	1	0	0	0	2	7	2	2	2	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	1	5	0	0	0	2	3	0	0	3	0	1	2	0	0	1	1	3	0	2	0	0	2	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	2	0	0	0	1	1	0	1	2	0	1	0	0	0	0	0	0	1	0	0
ShoeMoney	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	4	0	2	3	1	1	0	0	1	0	1	1	4	0	0	0	0	6	0	3	3	2	0	0	0	0	0	4	0	0	1	1	0	0	1	0	0	1	0	0	2	0	1	3	0	0	3	0	0	1	0	0	1	2	1	0	2	2	0	0	0	2	0	2	1	0	0	1	0	0	2	0	2	0	1	0	0	0	6	0	0	0	0	0	0	3	0	8	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	9	1	0	1	0	0	0	0	0	0	0	0	1	0	0	4	6	6	10	2	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	6	1	1	1	0	2	0	2	0	0	1	0	2	3	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	2	1	0	0	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	2	1
Slashdot	6	1	3	10	1	6	8	0	2	4	1	5	30	4	2	5	46	6	1	7	1	10	6	2	3	2	2	3	53	7	1	6	0	24	1	19	35	49	0	2	3	1	31	4	8	0	5	8	10	2	1	1	3	23	14	8	9	3	4	2	0	2	48	3	5	11	4	2	2	5	3	2	8	3	3	4	4	22	1	8	5	8	6	1	1	8	11	1	16	6	19	17	1	4	59	3	3	5	2	26	14	7	1	20	2	2	3	2	3	0	3	7	1	3	2	7	2	1	5	2	0	3	2	13	4	1	7	6	4	21	0	2	3	1	1	2	11	2	1	63	40	45	9	2	8	1	2	3	4	0	1	1	5	0	5	3	3	5	2	0	10	3	7	6	5	2	5	2	2	3	3	0	2	2	25	0	7	9	15	2	2	7	0	4	2	2	12	3	1	6	2	2	2	4	18	4	6	1	3	1	0	0	1	2	2	0	2	20	5	12	2	12	2	0	25	4	23	4	1	1	3	4	24	0	1	9	19	20	10	1	0	0	5	4	1	2	9
Matt Cutts: Gadgets, Google, and SEO	0	2	0	4	0	1	0	0	0	0	2	1	2	0	0	1	4	0	0	6	0	2	0	0	1	0	1	0	9	0	0	2	0	4	0	1	3	1	0	1	1	2	1	0	0	0	1	0	1	0	0	0	1	1	1	0	1	1	4	0	0	2	7	0	2	0	1	2	1	0	0	0	1	0	3	0	1	2	0	2	2	2	0	2	3	0	7	0	1	2	1	2	0	0	12	0	0	0	0	1	2	5	0	3	1	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	22	2	0	1	2	0	2	0	0	3	0	0	1	1	1	1	7	2	9	1	3	2	0	0	1	3	0	0	1	0	0	2	1	0	2	0	0	0	0	0	1	0	0	0	0	9	1	2	0	0	9	2	0	1	3	1	0	3	0	3	8	0	0	0	0	1	0	1	0	0	4	2	3	0	0	0	1	0	0	1	0	0	1	2	4	1	1	0	0	4	0	0	1	2	0	1	0	0	3	1	0	0	4	3	0	0	1	0	0	0	1	0	0	1
TUAW - The Unofficial Apple Weblog	40	10	5	8	8	8	14	10	7	5	0	3	29	3	3	1	193	17	1	12	0	17	3	1	7	1	0	7	106	6	7	2	0	111	3	38	60	48	4	2	3	0	29	9	19	1	1	6	27	1	49	1	5	50	16	5	34	22	27	4	2	7	56	7	10	5	4	42	3	2	6	1	14	2	7	4	5	8	3	13	5	10	10	3	1	6	16	9	34	8	6	48	5	19	65	7	16	2	7	1	26	46	6	66	4	0	2	3	1	3	1	53	9	6	8	17	1	2	1	13	4	3	2	21	20	5	3	7	8	84	2	2	2	2	5	4	4	3	2	79	59	135	14	3	20	20	0	1	5	236	1	2	9	1	10	12	3	6	8	3	15	9	2	0	7	7	9	4	3	10	5	2	8	5	23	6	7	5	6	8	2	4	2	7	6	3	4	9	4	40	3	5	1	3	15	9	13	1	2	44	2	1	6	2	5	2	0	29	12	30	9	38	0	1	0	9	32	6	2	2	47	45	58	2	49	13	9	13	13	1	1	2	1	2	3	6	17
